Taxon,TaxonGroup,Abundance,GridRef
Maniola jurtina,insect - butterfly,,SD66161055
Pieris napi,insect - butterfly,2,SD66241068
Pyronia tithonus,insect - butterfly,12,SD66241068
Lycaena phlaeas,insect - butterfly,2,SD66251075
Pyronia tithonus,insect - butterfly,,SD66171108
Pararge aegeria,insect - butterfly,,SD66171108
Inachis io,insect - butterfly,4,SD658112
Aglais urticae,insect - butterfly,1,SD658112
Pieris napi,insect - butterfly,Many,SD6612
Inachis io,insect - butterfly,Few,SD6612
Pararge aegeria,insect - butterfly,1,SD65691083
Pararge aegeria,insect - butterfly,3,SD65701079
Pararge aegeria,insect - butterfly,1,SD658112
Aglais urticae,insect - butterfly,1,SD65981190
Vanessa atalanta,insect - butterfly,1,SD66251240
Pyronia tithonus,insect - butterfly,1,SD66301256
Pieris napi,insect - butterfly,2,SD66821206
Pieris napi,insect - butterfly,3,SD66821206
Lycaena phlaeas,insect - butterfly,2,SD66821206
Lycaena phlaeas,insect - butterfly,1,SD66771202
Pieris napi,insect - butterfly,1,SD66771202
Aglais urticae,insect - butterfly,1,SD40541333
Aglais urticae,insect - butterfly,2,SD40461336
Aglais urticae,insect - butterfly,1,SD40021358
Pararge aegeria,insect - butterfly,1,SD65691086
Pararge aegeria,insect - butterfly,1,SP18396286
Polyommatus icarus,insect - butterfly,1,SP18056337
Polyommatus icarus,insect - butterfly,1,SP18786232
Pyronia tithonus,insect - butterfly,1,SP18866236
Polyommatus icarus,insect - butterfly,1,SP18836235
Pyronia tithonus,insect - butterfly,1,SP18796241
Aglais urticae,insect - butterfly,1,SP19096288
Pieris rapae,insect - butterfly,1,TR20306793
Pararge aegeria,insect - butterfly,2,TR20536854
Pyronia tithonus,insect - butterfly,1,TQ78271092
Lycaena phlaeas,insect - butterfly,1,TQ78271092
Polyommatus icarus,insect - butterfly,1,TQ78281092
Pararge aegeria,insect - butterfly,1,SJ41759007
Aglais urticae,insect - butterfly,1,SD65031225
