Taxon,TaxonGroup,Abundance,GridRef
Vanessa atalanta,insect - butterfly,1,SX10568298
Aphantopus hyperantus,insect - butterfly,1,SX10558314
Pieris napi,insect - butterfly,1,SX10658346
Pararge aegeria,insect - butterfly,2,SX10658358
Vanessa atalanta,insect - butterfly,1,SX10518367
Maniola jurtina,insect - butterfly,1,SX05348836
Pyronia tithonus,insect - butterfly,1,SX05278838
Pyronia tithonus,insect - butterfly,P,SX05258839
Maniola jurtina,insect - butterfly,1,SX04928818
Maniola jurtina,insect - butterfly,1,SX04928817
Maniola jurtina,insect - butterfly,2,SX04788797
Maniola jurtina,insect - butterfly,1,SX04698778
Pyronia tithonus,insect - butterfly,1,SX04668775
Aphantopus hyperantus,insect - butterfly,1,SX04658773
Maniola jurtina,insect - butterfly,1,SX04648772
Thymelicus sylvestris,insect - butterfly,P,SX04638773
Lasiommata megera,insect - butterfly,P,SX04638773
Aphantopus hyperantus,insect - butterfly,1,SX10678348
Pararge aegeria,insect - butterfly,1,SX10668347
Pieris napi,insect - butterfly,1,SX10408276
Vanessa atalanta,insect - butterfly,1,SX10468286
Pararge aegeria,insect - butterfly,1,SX10558316
Pyronia tithonus,insect - butterfly,1,SX00328036
Inachis io,insect - butterfly,1,SX05488845
Pyronia tithonus,insect - butterfly,3,SD64861283
Pararge aegeria,insect - butterfly,1,SD65321131
Pyronia tithonus,insect - butterfly,1,SD65321131
Pararge aegeria,insect - butterfly,2,SD65321129
Maniola jurtina,insect - butterfly,1,SD40701342
Pieris napi,insect - butterfly,1,SX10568303
Pararge aegeria,insect - butterfly,1,SX10518288
Maniola jurtina,insect - butterfly,1,SX10518288
Pieris napi,insect - butterfly,1,SX10498287
Pieris napi,insect - butterfly,,SX10448282
Pieris napi,insect - butterfly,1,SX10418280
Maniola jurtina,insect - butterfly,2,SX04778797
Lycaena phlaeas,insect - butterfly,P,SX04638773
Aphantopus hyperantus,insect - butterfly,P,SX04638773
Pyronia tithonus,insect - butterfly,P,SX04638773
Maniola jurtina,insect - butterfly,100s,SX04638773
Pieris napi,insect - butterfly,1,SX10678348
Pararge aegeria,insect - butterfly,1,SJ41749025
Pieris brassicae,insect - butterfly,1,SJ41769007
Inachis io,insect - butterfly,1,SD66561061
Lycaena phlaeas,insect - butterfly,1,SD66501064
Pararge aegeria,insect - butterfly,1,SD66361063
Pyronia tithonus,insect - butterfly,1,SD66331060
Pararge aegeria,insect - butterfly,1,SD66261051
Pararge aegeria,insect - butterfly,1,SD65681078
Pararge aegeria,insect - butterfly,1,SD65701087
Pararge aegeria,insect - butterfly,2,SD65691079
Pyronia tithonus,insect - butterfly,1,SD65101123
Maniola jurtina,insect - butterfly,1,SD27890525
Pieris napi,insect - butterfly,1,SD66701035
Maniola jurtina,insect - butterfly,1,SD66141215
Maniola jurtina,insect - butterfly,1,SD66141215
Pyronia tithonus,insect - butterfly,1,SD66231167
Polyommatus icarus,insect - butterfly,2,SD35942688
Pararge aegeria,insect - butterfly,1,SP16876262
Pieris rapae,insect - butterfly,1,SP18656224
Lycaena phlaeas,insect - butterfly,1,SP18756230
Lycaena phlaeas,insect - butterfly,2,SP18786233
Polyommatus icarus,insect - butterfly,1,SP18756230
Vanessa atalanta,insect - butterfly,1,SD658112
Vanessa atalanta,insect - butterfly,1,SD65911126
Pararge aegeria,insect - butterfly,1,SD64931262
Vanessa atalanta,insect - butterfly,1,TQ94651841
Maniola jurtina,insect - butterfly,1,TQ52346404
Inachis io,insect - butterfly,3,SD658112
Aglais urticae,insect - butterfly,1,SD658112
Gonepteryx rhamni,insect - butterfly,2,SD658112
Anthocharis cardamines,insect - butterfly,1,SD384008
Gonepteryx rhamni,insect - butterfly,1,SD384008
Pararge aegeria,insect - butterfly,1,SD384008
Pararge aegeria,insect - butterfly,1,SD720105
Lasiommata megera,insect - butterfly,1,SD671121
Aglais urticae,insect - butterfly,1,SD72071056
Polygonia c-album,insect - butterfly,1,SD72091056
Vanessa cardui,insect - butterfly,1,SD720106
Polyommatus icarus,insect - butterfly,1,SJ543939
Aglais urticae,insect - butterfly,1,SD658112
Inachis io,insect - butterfly,3,SD658112
Aglais urticae,insect - butterfly,1,SD65911125
Aglais urticae,insect - butterfly,1,SD65691074
Inachis io,insect - butterfly,1,SD66051046
Aglais urticae,insect - butterfly,1,SD66061042
Aglais urticae,insect - butterfly,1,SD66421074
Inachis io,insect - butterfly,1,SD66441077
Inachis io,insect - butterfly,1,SD65391202
Aglais urticae,insect - butterfly,1,SD65441198
Aglais urticae,insect - butterfly,1,SD65191240
Aglais urticae,insect - butterfly,2,SD65891124
Inachis io,insect - butterfly,1,SD658112
Anthocharis cardamines,insect - butterfly,1,SD658112
Maniola jurtina,insect - butterfly,P,SD657107
Pyronia tithonus,insect - butterfly,P,SD660116
Inachis io,insect - butterfly,2,SD639101
Hipparchia semele,insect - butterfly,1,SD30061365
Inachis io,insect - butterfly,2,SD660121
Inachis io,insect - butterfly,1,SD659129
Aglais urticae,insect - butterfly,1,SD659129
Inachis io,insect - butterfly,2,SD659113
Inachis io,insect - butterfly,5,SD664135
Inachis io,insect - butterfly,1,SD67031362
Aglais urticae,insect - butterfly,1,SD34710281
Polyommatus icarus,insect - butterfly,1,SJ575945
Polyommatus icarus,insect - butterfly,1,SJ506917
Pieris brassicae,insect - butterfly,1,SD368193
Pieris brassicae,insect - butterfly,1,SJ526981
Pieris brassicae,insect - butterfly,1,SJ457906
Maniola jurtina,insect - butterfly,1,SJ527925
Maniola jurtina,insect - butterfly,1,SJ575945
Maniola jurtina,insect - butterfly,1,SJ457906
Inachis io,insect - butterfly,1,SJ575945
Inachis io,insect - butterfly,1,SD368193
Inachis io,insect - butterfly,1,SJ457906
Inachis io,insect - butterfly,1,SJ506917
Thymelicus sylvestris,insect - butterfly,1,SJ527925
Pieris rapae,insect - butterfly,1,SJ457906
Pararge aegeria,insect - butterfly,1,SJ472905
Pararge aegeria,insect - butterfly,1,SJ457906
Pyronia tithonus,insect - butterfly,P,SJ545962
Pyronia tithonus,insect - butterfly,P,SJ471891
Pyronia tithonus,insect - butterfly,1,SD368193
Pyronia tithonus,insect - butterfly,1,SJ457906
Pyronia tithonus,insect - butterfly,1,SJ575945
Pyronia tithonus,insect - butterfly,1,SJ526981
Pyronia tithonus,insect - butterfly,P,SJ478852
Pieris napi,insect - butterfly,P,SJ440856
Maniola jurtina,insect - butterfly,P,SJ545962
Maniola jurtina,insect - butterfly,P,SJ471891
Maniola jurtina,insect - butterfly,P,SJ545957
Maniola jurtina,insect - butterfly,P,SJ440856
Maniola jurtina,insect - butterfly,P,SJ501887
Thymelicus sylvestris,insect - butterfly,P,SJ471891
Pararge aegeria,insect - butterfly,P,SJ545957
Thymelicus,insect - butterfly,P,SJ542958
Pieris napi,insect - butterfly,1,SD65311127
Lycaena phlaeas,insect - butterfly,,TL87358228
Pararge aegeria,insect - butterfly,1,SD65321129
Pieris napi,insect - butterfly,1,SD65901125
Lycaena phlaeas,insect - butterfly,1,TL87058095
Anthocharis cardamines,insect - butterfly,,TL82478004
Inachis io,insect - butterfly,1,SD66251238
Pieris napi,insect - butterfly,1,SD65321127
Anthocharis cardamines,insect - butterfly,1,SJ64419841
Inachis io,insect - butterfly,1,SD65541188
Pieris napi,insect - butterfly,2,SD65521191
Inachis io,insect - butterfly,1,SD65401202
Pieris napi,insect - butterfly,1,SD65541188
Pieris napi,insect - butterfly,1,SD65581083
Pieris brassicae,insect - butterfly,1,SD64891240
Anthocharis cardamines,insect - butterfly,1,SD64911238
Pieris napi,insect - butterfly,1,SD64951234
Pieris napi,insect - butterfly,1,SD65031231
Pieris napi,insect - butterfly,1,SD65131207
Pieris napi,insect - butterfly,1,SD65251202
Pieris napi,insect - butterfly,18,SD655117
Pieris napi,insect - butterfly,2,SD65601169
Pieris napi,insect - butterfly,1,SD66601256
Pieris napi,insect - butterfly,1,SD66871251
Pararge aegeria,insect - butterfly,1,SD66931250
Anthocharis cardamines,insect - butterfly,1,SD67141247
Pieris napi,insect - butterfly,2,SD67151247
Pieris napi,insect - butterfly,1,SD67161248
Inachis io,insect - butterfly,1,SD66901254
Callophrys rubi,insect - butterfly,1,SD66161270
Pieris napi,insect - butterfly,10,SD65521184
Inachis io,insect - butterfly,1,SD65541186
Pieris brassicae,insect - butterfly,1,SD65521190
Pieris napi,insect - butterfly,1,SD65511196
Inachis io,insect - butterfly,1,SD65381206
Lycaena phlaeas,insect - butterfly,1,SD65471207
Pieris napi,insect - butterfly,1,SD65461207
Lycaena phlaeas,insect - butterfly,1,SD65411206
Pieris brassicae,insect - butterfly,1,SD65301215
Lycaena phlaeas,insect - butterfly,1,SD64991267
Lycaena phlaeas,insect - butterfly,2,SD64951266
Callophrys rubi,insect - butterfly,1,SD64931268
Pieris napi,insect - butterfly,1,SD64941269
Pieris napi,insect - butterfly,1,SD64751269
Pieris napi,insect - butterfly,3,SD64701264
Pieris brassicae,insect - butterfly,1,SD64721264
Pieris napi,insect - butterfly,2,SD64871242
Anthocharis cardamines,insect - butterfly,1,SD65531185
Pararge aegeria,insect - butterfly,1,SD65551139
Pieris napi,insect - butterfly,1,SD65931146
Pieris napi,insect - butterfly,1,SJ41769006
Pieris napi,insect - butterfly,1,SD65231136
Vanessa atalanta,insect - butterfly,1,SD65901127
Maniola jurtina,insect - butterfly,1,SD65441196
Maniola jurtina,insect - butterfly,1,SD65381204
Pararge aegeria,insect - butterfly,1,SD65561176
Aglais urticae,insect - butterfly,1,SD65731157
Thymelicus sylvestris,insect - butterfly,1,SD44690766
Maniola jurtina,insect - butterfly,1,SD44670766
Aglais urticae,insect - butterfly,1,SJ62209606
Maniola jurtina,insect - butterfly,1,SD65371202
Maniola jurtina,insect - butterfly,2,SD65321127
Pararge aegeria,insect - butterfly,1,SD65311132
Aglais urticae,insect - butterfly,1,SD65911125
Maniola jurtina,insect - butterfly,2,SD65951117
Maniola jurtina,insect - butterfly,2,SD65421197
Pararge aegeria,insect - butterfly,2,SD65081246
Ochlodes sylvanus,insect - butterfly,1,SD64801262
Aglais urticae,insect - butterfly,2,SD64721253
Maniola jurtina,insect - butterfly,1,SD65121213
Maniola jurtina,insect - butterfly,1,SD65601171
Maniola jurtina,insect - butterfly,1,SD65171200
Maniola jurtina,insect - butterfly,1,SD65341126
Maniola jurtina,insect - butterfly,1,SD65391124
Maniola jurtina,insect - butterfly,3,SD65391124
Ochlodes sylvanus,insect - butterfly,1,SD65331126
Polyommatus icarus,insect - butterfly,1,SD30411429
Maniola jurtina,insect - butterfly,1,SD65381124
Aglais urticae,insect - butterfly,1,SD65911126
Aglais urticae,insect - butterfly,1,SD65381124
Pyronia tithonus,insect - butterfly,2,SJ41778994
Maniola jurtina,insect - butterfly,1,SD65331126
Maniola jurtina,insect - butterfly,1,SD65351207
Aglais urticae,insect - butterfly,1,SD65831139
Maniola jurtina,insect - butterfly,1,SD65321129
Maniola jurtina,insect - butterfly,1,SD65111213
Maniola jurtina,insect - butterfly,1,SD65151201
Maniola jurtina,insect - butterfly,1,SD65331127
Maniola jurtina,insect - butterfly,1,SD65381123
Pieris brassicae,insect - butterfly,1,SD65511133
Pieris napi,insect - butterfly,3,SD65511133
Pararge aegeria,insect - butterfly,1,SD65331144
Maniola jurtina,insect - butterfly,1,SD65301134
Pieris napi,insect - butterfly,1,SD65321130
Maniola jurtina,insect - butterfly,3,SD65351125
Maniola jurtina,insect - butterfly,2,SD65281205
Pyronia tithonus,insect - butterfly,1,SD65311203
Inachis io,insect - butterfly,1,SD65241203
Pieris napi,insect - butterfly,1,SD65191198
Aglais urticae,insect - butterfly,1,SD65321203
Thymelicus sylvestris,insect - butterfly,P,SD65241203
Maniola jurtina,insect - butterfly,P,SD65241203
Pyronia tithonus,insect - butterfly,P,SD65241203
Pieris brassicae,insect - butterfly,1,TG18122434
Maniola jurtina,insect - butterfly,A,TG17902426
Lycaena phlaeas,insect - butterfly,1,TG17802405
Pyronia tithonus,insect - butterfly,1,TG17712389
Pyronia tithonus,insect - butterfly,2,TG17672414
Limenitis camilla,insect - butterfly,1,TG17642414
Gonepteryx rhamni,insect - butterfly,1,TG17642415
Pyronia tithonus,insect - butterfly,3,TG17662415
Pyronia tithonus,insect - butterfly,1,SP61281150
Argynnis paphia,insect - butterfly,1,SP61281150
Polygonia c-album,insect - butterfly,1,SP66580698
Pyronia tithonus,insect - butterfly,P,TQ688891
Inachis io,insect - butterfly,1,TG18162434
Pieris brassicae,insect - butterfly,1,TG18142434
Maniola jurtina,insect - butterfly,1,TG17762419
Lycaena phlaeas,insect - butterfly,1,TG17712392
Argynnis paphia,insect - butterfly,1,SP61411158
Gonepteryx rhamni,insect - butterfly,1,SP61421158
Aphantopus hyperantus,insect - butterfly,1,SP61521167
Gonepteryx rhamni,insect - butterfly,1,SP61731180
Pararge aegeria,insect - butterfly,1,SP61771186
Gonepteryx rhamni,insect - butterfly,2,SP61881185
Gonepteryx rhamni,insect - butterfly,5,SP61891184
Argynnis paphia,insect - butterfly,,SP62041182
Pararge aegeria,insect - butterfly,1,SP62271173
Pararge aegeria,insect - butterfly,1,SP62261195
Pararge aegeria,insect - butterfly,2,SP62221195
Pararge aegeria,insect - butterfly,1,SP62041205
Pararge aegeria,insect - butterfly,2,SP61921194
Pararge aegeria,insect - butterfly,1,SP61531170
Inachis io,insect - butterfly,1,SP61201154
Inachis io,insect - butterfly,1,SP61411158
Pyronia tithonus,insect - butterfly,1,SP61411158
Maniola jurtina,insect - butterfly,1,SP61881185
Maniola jurtina,insect - butterfly,1,SP61891184
Gonepteryx rhamni,insect - butterfly,1,SP61531170
Thymelicus sylvestris,insect - butterfly,,SP61201154
Pyronia tithonus,insect - butterfly,P,SP66570697
Pyronia tithonus,insect - butterfly,1,SD65511180
Pyronia tithonus,insect - butterfly,1,SD65361203
Lycaena phlaeas,insect - butterfly,,SD65351207
Maniola jurtina,insect - butterfly,1,SD65351207
Maniola jurtina,insect - butterfly,1,SD65341209
Pieris napi,insect - butterfly,1,SD65351212
Pieris napi,insect - butterfly,2,SD65351212
Pararge aegeria,insect - butterfly,1,SD65351212
Pyronia tithonus,insect - butterfly,5,SD65051284
Thymelicus sylvestris,insect - butterfly,1,SD65001287
Pieris napi,insect - butterfly,1,SD65001288
Lycaena phlaeas,insect - butterfly,1,SD65001288
Maniola jurtina,insect - butterfly,1,SD64981289
Lycaena phlaeas,insect - butterfly,2,SD64921286
Maniola jurtina,insect - butterfly,1,SD64731253
Aglais urticae,insect - butterfly,1,SD64901238
Pyronia tithonus,insect - butterfly,1,SD64931237
Aglais urticae,insect - butterfly,2,SD64991233
Lasiommata megera,insect - butterfly,1,SD65041225
Pyronia tithonus,insect - butterfly,1,SD65201202
Thymelicus sylvestris,insect - butterfly,P,SD65211204
Thymelicus sylvestris,insect - butterfly,1,SD65361198
Pieris napi,insect - butterfly,1,SD65371196
Pyronia tithonus,insect - butterfly,1,SD65371196
Pieris brassicae,insect - butterfly,P,SP66570697
Inachis io,insect - butterfly,P,SP66570697
Pararge aegeria,insect - butterfly,1,SD65511180
Maniola jurtina,insect - butterfly,1,SD64921286
Pieris napi,insect - butterfly,P,SD65211204
Pyronia tithonus,insect - butterfly,P,SD65211204
Pieris napi,insect - butterfly,1,SD65231137
Pyronia tithonus,insect - butterfly,1,SD65401204
Pararge aegeria,insect - butterfly,1,SD65341209
Pyronia tithonus,insect - butterfly,1,SD65311214
Pyronia tithonus,insect - butterfly,1,SD65161200
Maniola jurtina,insect - butterfly,1,SD65401204
Maniola jurtina,insect - butterfly,1,SD65311214
Pieris napi,insect - butterfly,1,SD65321128
Inachis io,insect - butterfly,1,SD65451134
Pararge aegeria,insect - butterfly,1,SD65511136
Lasiommata megera,insect - butterfly,1,SD64821245
Celastrina argiolus,insect - butterfly,1,SD65891125
Maniola jurtina,insect - butterfly,1,SD65381204
Inachis io,insect - butterfly,1,SD65391204
Aglais urticae,insect - butterfly,1,SD65411202
Aglais urticae,insect - butterfly,1,SD65451204
Inachis io,insect - butterfly,1,SD65461205
Polygonia c-album,insect - butterfly,1,SD65441206
Inachis io,insect - butterfly,1,SD65371205
Inachis io,insect - butterfly,1,SD65311215
Maniola jurtina,insect - butterfly,1,SD65151203
Maniola jurtina,insect - butterfly,1,SD65241204
Aglais urticae,insect - butterfly,1,SD65441206
Inachis io,insect - butterfly,3,SD65441206
Pararge aegeria,insect - butterfly,2,SJ418899
Aglais urticae,insect - butterfly,1,SD66091210
Inachis io,insect - butterfly,1,SD66101211
Maniola jurtina,insect - butterfly,1,SD66151218
Inachis io,insect - butterfly,1,SD66181223
Pieris napi,insect - butterfly,1,SD66191224
Inachis io,insect - butterfly,1,SD66251238
Pararge aegeria,insect - butterfly,1,SD65441138
Pararge aegeria,insect - butterfly,1,SD65301135
Pararge aegeria,insect - butterfly,1,SD65501135
Aglais urticae,insect - butterfly,1,SD65921125
Vanessa atalanta,insect - butterfly,1,TQ81892517
Pieris brassicae,insect - butterfly,Abundant,TQ81982514
Pieris napi,insect - butterfly,1,TQ82052509
Aglais urticae,insect - butterfly,1,TQ82052508
Vanessa atalanta,insect - butterfly,1,TQ81912506
Lycaena phlaeas,insect - butterfly,1,TQ81902494
Pieris rapae,insect - butterfly,1,TQ81882494
Lycaena phlaeas,insect - butterfly,1,TQ81882495
Vanessa atalanta,insect - butterfly,1,TQ81882495
Lycaena phlaeas,insect - butterfly,1,SD64031282
Inachis io,insect - butterfly,1,SD63991016
Aglais urticae,insect - butterfly,1,SD64081005
Anthocharis cardamines,insect - butterfly,1,TL87318252
Pararge aegeria,insect - butterfly,1,SD65311129
Aglais urticae,insect - butterfly,2,SD66511079
Inachis io,insect - butterfly,1,SD63871038
Inachis io,insect - butterfly,1,SJ43191453
Inachis io,insect - butterfly,2,SD65901124
Aglais urticae,insect - butterfly,1,SJ43201454
Inachis io,insect - butterfly,1,SJ43441447
Aglais urticae,insect - butterfly,2,SJ43321442
Aglais urticae,insect - butterfly,1,SD65381124
Inachis io,insect - butterfly,1,SJ68572730
Anthocharis cardamines,insect - butterfly,1,SJ43211443
Pieris napi,insect - butterfly,1,SJ43221440
Inachis io,insect - butterfly,1,SJ43431440
Anthocharis cardamines,insect - butterfly,1,SJ43471442
Inachis io,insect - butterfly,1,SJ43191453
Inachis io,insect - butterfly,1,SJ43431442
Pieris napi,insect - butterfly,1,SD65641167
Pieris napi,insect - butterfly,1,SD65511185
Inachis io,insect - butterfly,1,SD65521190
Inachis io,insect - butterfly,2,SD65481196
Inachis io,insect - butterfly,1,SD65401201
Inachis io,insect - butterfly,3,SD65361203
Aglais urticae,insect - butterfly,1,SD65401205
Inachis io,insect - butterfly,1,SD65241225
Aglais urticae,insect - butterfly,1,SD66251278
Aglais urticae,insect - butterfly,1,SD66081209
Inachis io,insect - butterfly,1,SD66071205
Aglais urticae,insect - butterfly,1,SD65981190
Aglais urticae,insect - butterfly,1,SD65511185
Aglais urticae,insect - butterfly,3,SD65521190
Inachis io,insect - butterfly,1,SD66511258
Anthocharis cardamines,insect - butterfly,2,SJ43191452
Inachis io,insect - butterfly,1,SJ43191452
Pieris napi,insect - butterfly,1,SJ43191452
Aglais urticae,insect - butterfly,2,SJ43391539
Inachis io,insect - butterfly,1,SJ42951505
Aglais urticae,insect - butterfly,1,SD65401122
Anthocharis cardamines,insect - butterfly,2,SJ43181451
Pieris napi,insect - butterfly,1,SJ43191451
Inachis io,insect - butterfly,2,SJ43191452
Pieris napi,insect - butterfly,1,SJ43191454
Anthocharis cardamines,insect - butterfly,2,SJ43201457
Anthocharis cardamines,insect - butterfly,1,SJ43191462
Anthocharis cardamines,insect - butterfly,2,SJ43181468
Anthocharis cardamines,insect - butterfly,1,SJ43161469
Pieris napi,insect - butterfly,2,SJ43151472
Anthocharis cardamines,insect - butterfly,2,SJ43061479
Anthocharis cardamines,insect - butterfly,P,SJ43021486
Anthocharis cardamines,insect - butterfly,P,SJ42971505
Pieris napi,insect - butterfly,1,SJ43191454
Inachis io,insect - butterfly,1,SJ43181451
Anthocharis cardamines,insect - butterfly,1,SJ43151472
Pieris napi,insect - butterfly,2,SJ43061479
Inachis io,insect - butterfly,2,SJ43061479
Pieris napi,insect - butterfly,10,SJ43021486
Pieris napi,insect - butterfly,P,SJ42971505
Pieris napi,insect - butterfly,1,SJ43251429
Anthocharis cardamines,insect - butterfly,1,SJ42861409
Pieris napi,insect - butterfly,1,SJ432142
Pieris napi,insect - butterfly,1,SJ432142
Anthocharis cardamines,insect - butterfly,1,SJ432142
Inachis io,insect - butterfly,1,SJ42851408
Pieris brassicae,insect - butterfly,1,SJ42781405
Anthocharis cardamines,insect - butterfly,1,SJ42781405
Inachis io,insect - butterfly,1,SD65441197
Pieris napi,insect - butterfly,6,SD651121
Inachis io,insect - butterfly,1,SD65301205
Aglais urticae,insect - butterfly,1,SD65451205
Pararge aegeria,insect - butterfly,1,SJ42851408
Pieris napi,insect - butterfly,25,SD654119
Pieris brassicae,insect - butterfly,1,SD65451206
Pieris napi,insect - butterfly,2,SD65281206
Anthocharis cardamines,insect - butterfly,1,SD65281206
Pararge aegeria,insect - butterfly,,SD65301205
Pieris brassicae,insect - butterfly,1,SD65321127
Pieris napi,insect - butterfly,1,SJ43501540
Anthocharis cardamines,insect - butterfly,1,SD65541185
Anthocharis cardamines,insect - butterfly,1,SD65521188
Pieris napi,insect - butterfly,1,SD65511190
Pieris napi,insect - butterfly,P,SD65401199
Lycaena phlaeas,insect - butterfly,1,SD64931262
Lycaena phlaeas,insect - butterfly,1,SD64921265
Pieris napi,insect - butterfly,1,SD65551188
Inachis io,insect - butterfly,1,SJ43191452
Anthocharis cardamines,insect - butterfly,P,SJ43201455
Pieris napi,insect - butterfly,P,SJ43201456
Inachis io,insect - butterfly,2,SJ43221455
Lasiommata megera,insect - butterfly,1,SD65291205
Lasiommata megera,insect - butterfly,1,SD65281206
Inachis io,insect - butterfly,1,SD66081208
Pieris brassicae,insect - butterfly,1,SD66561266
Anthocharis cardamines,insect - butterfly,2,SD66331296
Inachis io,insect - butterfly,1,SD66221301
Inachis io,insect - butterfly,1,SD65881329
Callophrys rubi,insect - butterfly,1,SD66321260
Aglais urticae,insect - butterfly,1,SD33152757
Maniola jurtina,insect - butterfly,1,SJ43231443
Aglais urticae,insect - butterfly,1,SJ43241442
Pieris napi,insect - butterfly,1,SJ43281435
Aphantopus hyperantus,insect - butterfly,P,SJ429150
Pararge aegeria,insect - butterfly,1,SJ43341510
Aphantopus hyperantus,insect - butterfly,1,SJ43421505
Aphantopus hyperantus,insect - butterfly,P,SJ43441447
Aphantopus hyperantus,insect - butterfly,P,SJ43361545
Maniola jurtina,insect - butterfly,1,SJ43371544
Pararge aegeria,insect - butterfly,1,SD65291142
Aglais urticae,insect - butterfly,P,SJ429150
Maniola jurtina,insect - butterfly,P,SJ43461542
Pieris brassicae,insect - butterfly,P,SJ432143
Maniola jurtina,insect - butterfly,1,SD65361125
Maniola jurtina,insect - butterfly,1,SD65471132
Maniola jurtina,insect - butterfly,1,SD65391123
Aglais urticae,insect - butterfly,1,SD65931125
Inachis io,insect - butterfly,1,SJ43291435
Inachis io,insect - butterfly,1,SJ43291435
Aglais urticae,insect - butterfly,1,SJ43221429
Aglais urticae,insect - butterfly,1,SJ43221429
Pieris rapae,insect - butterfly,P,SJ43221429
Pieris napi,insect - butterfly,P,SJ43221429
Pieris brassicae,insect - butterfly,P,SJ43221429
Pieris brassicae,insect - butterfly,P,SJ43221429
Pieris rapae,insect - butterfly,P,SJ43221429
Pieris napi,insect - butterfly,P,SJ43221429
Aglais urticae,insect - butterfly,10,SJ43311436
Inachis io,insect - butterfly,15,SJ43311436
Vanessa atalanta,insect - butterfly,5,SJ43311436
Polygonia c-album,insect - butterfly,3,SJ43311436
Pieris brassicae,insect - butterfly,1,SJ43311436
Pieris rapae,insect - butterfly,3,SD65891125
Pieris rapae,insect - butterfly,2,SD65331127
Pieris napi,insect - butterfly,1,SD65321127
Aglais urticae,insect - butterfly,1,SD65911126
Aglais urticae,insect - butterfly,1,SD66181223
Pieris napi,insect - butterfly,1,SD65081253
Pieris napi,insect - butterfly,1,SD65321127
Aglais urticae,insect - butterfly,1,SD65511132
Maniola jurtina,insect - butterfly,1,SD65511132
Pieris napi,insect - butterfly,P,SD65511133
Maniola jurtina,insect - butterfly,2,SD65341127
Pieris rapae,insect - butterfly,P,SD65511133
Aglais urticae,insect - butterfly,3,SD65341125
Vanessa atalanta,insect - butterfly,1,SJ43251429
Pyronia tithonus,insect - butterfly,P,SJ43321542
Polygonia c-album,insect - butterfly,1,SJ43211454
Vanessa atalanta,insect - butterfly,2,SJ43221452
Pyronia tithonus,insect - butterfly,1,SJ43271448
Aglais urticae,insect - butterfly,P,SJ43291443
Thymelicus sylvestris,insect - butterfly,P,SJ43281443
Pieris rapae,insect - butterfly,P,SJ43291443
Aglais urticae,insect - butterfly,P,SJ43411459
Pyronia tithonus,insect - butterfly,P,SJ43401459
Maniola jurtina,insect - butterfly,P,SD65331127
Pieris napi,insect - butterfly,P,SD65411142
Pyronia tithonus,insect - butterfly,2,SD65301215
Pieris napi,insect - butterfly,P,SD65631164
Maniola jurtina,insect - butterfly,P,SD65541172
Pieris napi,insect - butterfly,P,SD65221224
Aglais urticae,insect - butterfly,1,SD65201240
Aglais urticae,insect - butterfly,1,SD65191241
Aglais urticae,insect - butterfly,3,SD65141244
Aglais urticae,insect - butterfly,1,SD64911284
Aglais urticae,insect - butterfly,1,SD65231234
Pyronia tithonus,insect - butterfly,1,SD65341209
Pyronia tithonus,insect - butterfly,1,SD65631165
Pararge aegeria,insect - butterfly,1,SJ43541542
Pieris napi,insect - butterfly,1,SJ43071523
Maniola jurtina,insect - butterfly,1,SD65451138
Pieris napi,insect - butterfly,1,SD65391124
Pararge aegeria,insect - butterfly,1,SD65321135
Pararge aegeria,insect - butterfly,1,SD65491130
Pararge aegeria,insect - butterfly,1,SD65311126
Pararge aegeria,insect - butterfly,1,SD65561140
Pararge aegeria,insect - butterfly,1,SD65601141
Pararge aegeria,insect - butterfly,1,SD65291216
Pararge aegeria,insect - butterfly,1,SD65271216
Pararge aegeria,insect - butterfly,1,SD64951290
Pararge aegeria,insect - butterfly,1,SD64791278
Pararge aegeria,insect - butterfly,2,SD64761279
Pararge aegeria,insect - butterfly,2,SD65311129
Pararge aegeria,insect - butterfly,1,SD65401143
Aglais urticae,insect - butterfly,P,SD42177981
Vanessa atalanta,insect - butterfly,1,SD42167981
Pieris napi,insect - butterfly,1,SD42147984
Aglais urticae,insect - butterfly,1,SD42167983
Pieris napi,insect - butterfly,1,SD42167982
Pararge aegeria,insect - butterfly,1,SJ43261431
Maniola jurtina,insect - butterfly,3,SD65341125
Maniola jurtina,insect - butterfly,P,SJ43221452
Pieris napi,insect - butterfly,P,SJ432143
Pieris brassicae,insect - butterfly,P,SJ432143
Ochlodes sylvanus,insect - butterfly,1,SJ43271448
Pyronia tithonus,insect - butterfly,P,SJ43291443
Maniola jurtina,insect - butterfly,P,SJ43291443
Aphantopus hyperantus,insect - butterfly,P,SJ43281443
Pieris brassicae,insect - butterfly,P,SJ43281443
Pieris napi,insect - butterfly,P,SJ43281443
Maniola jurtina,insect - butterfly,P,SJ43411459
Ochlodes sylvanus,insect - butterfly,P,SJ43411459
Pararge aegeria,insect - butterfly,P,SD65331127
Pieris brassicae,insect - butterfly,P,SJ432143
Pieris rapae,insect - butterfly,P,SJ432143
Pieris napi,insect - butterfly,P,SJ432143
Pararge aegeria,insect - butterfly,1,SD65321127
Inachis io,insect - butterfly,1,SO67946976
Pararge aegeria,insect - butterfly,1,SD65231133
Pieris napi,insect - butterfly,1,SD64951290
Aglais urticae,insect - butterfly,1,SJ43301432
Inachis io,insect - butterfly,1,SD42177981
